,FM_1,FM_2,FM_3,FM_4,FM_5,FM_6,FM_7,FM_8,FM_9,FM_10,FM_11,FM_12,FM_13,FM_14,FM_15,FM_16,FM_17,FM_18,FM_19,FM_20,FM_21,FM_22,FM_23,FM_24,FM_25,FM_26,FM_27,FM_28,FM_29,FM_30,FM_31,FM_32,FM_33,FM_34,FM_35,FM_36,FM_37,FM_38,FM_39,FM_40,FM_41,FM_42,FM_43,FM_44,FM_45,FM_46,FM_47,FM_48,FM_49,FM_50,FM_51,FM_52,FM_53,FM_54,FM_55,FM_56,FM_57,FM_58,FM_59,FM_60,FM_61,FM_62,FM_63,FM_64,FM_65,FM_66,FM_67,FM_68,FM_69,FM_70,FM_71,FM_72,FM_73,FM_74,FM_75,FM_76,FM_77,FM_78,FM_79,FM_80,FM_81,FM_82,FM_83,FM_84,FM_85,FM_86,FM_87,FM_88,FM_89,FM_90,FM_91,FM_92,FM_93,FM_94,FM_95,FM_96,FM_97,FM_98,FM_99,FM_100
add_values,0.6800000000000005,0.09230769230769231,0.09090909090909093,0.0,0.08571428571428573,0.10928792569659448,0.09428571428571435,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.09090909090909093,0.09791666666666668,0.0,0.0,0.09761904761904765,0.40909090909090917,0.0,0.16666666666666666,0.40909090909090917,0.0,0.09473684210526319,0.18181818181818185,0.0,0.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.09375000000000001,0.09444444444444441,0.09444444444444441,0.09375000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09285714285714287,0.09000000000000005,0.08666666666666667,0.3636363636363637,0.09500000000000006,0.09545454545454547,0.3636363636363637,0.5333333333333329,0.10000000000000002,0.0,0.08461538461538462,0.0,0.08947368421052634,0.0,0.0,0.08750000000000001,0.0,0.0,0.0,0.08888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666666,0.0,0.0,0.08461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818185,0.3636363636363637,0.3636363636363637,0.09188034188034189,0.0,0.09090909090909093,0.0,0.16363636363636366,0.0,0.0,0.0,0.09473684210526319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
array_calc,0.09230769230769231,0.8579881656804742,0.08391608391608392,0.06993006993006995,0.06593406593406594,0.16813527030245304,0.14505494505494498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07532051282051283,0.0,0.0,0.1501831501831501,0.08391608391608392,0.0,0.1538461538461539,0.08391608391608392,0.0,0.07287449392712547,0.16783216783216792,0.0,0.0,0.14792899408284027,0.0,0.0,0.0,0.0,0.0,0.0721153846153846,0.07264957264957264,0.07264957264957264,0.0721153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714282,0.06923076923076923,0.06666666666666668,0.08391608391608392,0.14615384615384608,0.07342657342657347,0.08391608391608392,0.06666666666666668,0.16783216783216792,0.0,0.07692307692307694,0.0,0.06882591093117406,0.0,0.0,0.06730769230769229,0.0,0.0,0.0,0.06837606837606837,0.0,0.0,0.07583122006198932,0.00641025641025641,0.0,0.0,0.07692307692307693,0.0,0.0,0.07100591715976333,0.0,0.006631299734748011,0.008944543828264758,0.0,0.0,0.0,0.06993006993006995,0.16783216783216792,0.16783216783216792,0.07067718606180147,0.0,0.0,0.0,0.08391608391608392,0.0,0.0,0.1333333333333333,0.07287449392712547,0.0,0.0,0.0,0.0,0.0,0.0,0.06632149901380675
array_copy,0.09090909090909093,0.08391608391608392,0.834710743801651,0.0,0.09090909090909093,0.09935265972417671,0.08571428571428573,0.0,0.0,0.0,0.17508417508417523,0.0,0.008264462809917356,0.008264462809917356,0.0890151515151515,0.0,0.0,0.08874458874458875,0.1652892561983471,0.0,0.07575757575757575,0.1652892561983471,0.0,0.08612440191387558,0.08264462809917356,0.07792207792207793,0.07792207792207793,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.08522727272727272,0.08585858585858586,0.08585858585858586,0.08522727272727272,0.07744107744107742,0.0,0.0,0.07878787878787877,0.0,0.0,0.0,0.0836101398601398,0.08441558441558443,0.16363636363636366,0.1575757575757576,0.1652892561983471,0.08636363636363638,0.08677685950413216,0.1652892561983471,0.07878787878787877,0.08264462809917356,0.0,0.07692307692307693,0.012987012987012986,0.08133971291866027,0.0,0.0,0.15909090909090903,0.07792207792207793,0.0,0.0,0.0808080808080808,0.07954545454545454,0.0,0.0,0.0,0.09090909090909098,0.0,0.0,0.0,0.0,0.1538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.08264462809917356,0.1652892561983471,0.1652892561983471,0.08352758352758356,0.0,0.008264462809917356,0.07988980716253444,0.08264462809917356,0.008264462809917356,0.0,0.0,0.08612440191387558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autoCorrelation,0.0,0.06993006993006995,0.0,0.8347107438016593,0.0,0.047846889952153096,0.0,0.053475935828876976,0.06493506493506494,0.042424242424242434,0.04377104377104376,0.04363636363636363,0.08264462809917356,0.08264462809917356,0.0,0.09090909090909093,0.039525691699604765,0.0432900432900433,0.0,0.04040404040404042,0.07575757575757572,0.0,0.11616161616161634,0.0,0.08264462809917356,0.06493506493506494,0.06493506493506494,0.0,0.039525691699604744,0.05050505050505051,0.05050505050505051,0.05050505050505051,0.05050505050505051,0.0,0.0,0.0,0.0,0.0,0.04465240641711229,0.0432900432900433,0.06060606060606059,0.17045454545454536,0.06993006993006995,0.11363636363636358,0.12541520979021026,0.0,0.0,0.0,0.0,0.0,0.04338842975206608,0.0,0.0,0.08264462809917356,0.040289256198347084,0.0,0.06493506493506494,0.0,0.04004329004329005,0.0411931818181818,0.0,0.06493506493506494,0.06993006993006995,0.06060606060606059,0.0,0.0568181818181818,0.06993006993006995,0.08961871461871464,0.0,0.040540540540540564,0.040669856459330134,0.1515151515151514,0.09090909090909093,0.04545454545454546,0.0,0.044574970484061345,0.04153605015673979,0.04016913319238901,0.03787878787878786,0.03896103896103897,0.0,0.0,0.08264462809917356,0.08264462809917356,0.04176379176379178,0.03977272727272728,0.08264462809917356,0.03994490358126722,0.0,0.08264462809917356,0.0,0.18181818181818177,0.0,0.03994490358126722,0.0,0.040281908702961354,0.0568181818181818,0.0432900432900433,0.053475935828876976,0.07837995337995342
average,0.08571428571428573,0.06593406593406594,0.09090909090909093,0.0,0.7551020408163245,0.07806280406899602,0.0673469387755102,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.09090909090909093,0.06994047619047616,0.0,0.0,0.06972789115646259,0.07792207792207793,0.0,0.07142857142857142,0.07792207792207793,0.0,0.06766917293233082,0.07792207792207793,0.0,0.0,0.13186813186813182,0.0,0.0,0.0,0.0,0.0,0.0669642857142857,0.06746031746031746,0.06746031746031746,0.0669642857142857,0.06084656084656084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122448979591836,0.0642857142857143,0.1857142857142858,0.07792207792207793,0.06785714285714287,0.06818181818181819,0.07792207792207793,0.061904761904761886,0.07792207792207793,0.0,0.13186813186813182,0.13265306122448986,0.06390977443609022,0.06292517006802723,0.0,0.06249999999999998,0.0,0.0,0.0,0.12698412698412698,0.0,0.0,0.0,0.0,0.13513513513513503,0.0,0.07142857142857142,0.0,0.0,0.06593406593406594,0.0,0.06527093596059108,0.06312292358803982,0.0,0.0,0.0,0.06493506493506494,0.07792207792207793,0.07792207792207793,0.0656288156288156,0.06250000000000001,0.012987012987012986,0.06277056277056281,0.07792207792207793,0.16883116883116886,0.0,0.0,0.06766917293233082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bi_SearchFromTo,0.10928792569659448,0.16813527030245304,0.09935265972417671,0.047846889952153096,0.07806280406899602,1.1943850703064427,0.04962406015037595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06830495356037153,0.0,0.0,0.15413533834586465,0.09935265972417671,0.0,0.18214654282765746,0.09935265972417671,0.0,0.05751996089294444,0.19870531944835337,0.0,0.0,0.08406763515122646,0.0,0.0,0.0,0.0,0.0,0.06830495356037153,0.06071551427588581,0.06071551427588581,0.06830495356037153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07806280406899602,0.047368421052631594,0.07285861713106295,0.09935265972417671,0.05000000000000002,0.05023923444976074,0.09935265972417671,0.07285861713106295,0.19870531944835337,0.0,0.08406763515122646,0.0,0.05751996089294444,0.0,0.0,0.06830495356037153,0.0,0.0,0.0,0.06071551427588581,0.0,0.0,0.1556535569693463,0.0,0.0,0.0,0.09107327141382865,0.0,0.0,0.08406763515122646,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.047846889952153096,0.19870531944835337,0.19870531944835337,0.04835807467386412,0.0,0.0,0.0,0.09935265972417671,0.0,0.0,0.07285861713106295,0.05751996089294444,0.0,0.0,0.0,0.0,0.0,0.0,0.09075573549257754
bubble,0.09428571428571435,0.14505494505494498,0.08571428571428573,0.0,0.0673469387755102,0.04962406015037595,0.8989795918367283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05892857142857145,0.0,0.0,0.04489795918367345,0.08571428571428573,0.0,0.07857142857142856,0.08571428571428573,0.0,0.04962406015037595,0.08571428571428573,0.0,0.0,0.07252747252747253,0.0,0.0,0.0,0.0,0.0,0.05892857142857145,0.05238095238095236,0.05238095238095236,0.05892857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673469387755102,0.047142857142857174,0.06285714285714286,0.08571428571428573,0.23571428571428585,0.04545454545454545,0.08571428571428573,0.06285714285714286,0.08571428571428573,0.0,0.07252747252747253,0.0,0.09924812030075182,0.0,0.0,0.05892857142857145,0.0,0.0,0.0,0.05238095238095236,0.0,0.0,0.0,0.07857142857142856,0.0,0.0,0.0,0.0,0.0,0.07252747252747253,0.0,0.0,0.0,0.0,0.0,0.0,0.0432900432900433,0.08571428571428573,0.08571428571428573,0.1356328856328856,0.0,0.0,0.0,0.17142857142857149,0.0,0.0,0.06285714285714286,0.04962406015037595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cal_AbsoluteDiff,0.0,0.0,0.0,0.053475935828876976,0.0,0.0,0.0,0.9892544333910032,0.0709033613445378,0.054901960784313725,0.056644880174291964,0.05647058823529409,0.09024064171122993,0.09024064171122993,0.0,0.11940789473684209,0.05115089514066499,0.0,0.0,0.05228758169934643,0.0,0.0,0.05010893246187366,0.0,0.0,0.0709033613445378,0.0709033613445378,0.0,0.05115089514066497,0.11458333333333337,0.11458333333333337,0.11458333333333337,0.11458333333333337,0.0,0.0,0.0,0.0,0.0,0.05778546712802767,0.05042016806722687,0.06617647058823528,0.06204044117647059,0.0763574660633484,0.06204044117647059,0.0541006787330316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05213903743315504,0.0,0.0709033613445378,0.0,0.05182072829131654,0.05330882352941177,0.0,0.0709033613445378,0.0763574660633484,0.06617647058823528,0.0,0.06204044117647059,0.0763574660633484,0.05798858004740359,0.0,0.05246422893481722,0.05263157894736843,0.08272058823529412,0.09926470588235296,0.05882352941176472,0.0,0.0576852559205501,0.0537525354969574,0.05198358413132695,0.04901960784313723,0.050420168067226885,0.0,0.0,0.0,0.0,0.0,0.05147058823529416,0.09024064171122993,0.10661764705882351,0.0,0.09024064171122993,0.0,0.06617647058823528,0.0,0.05169340463458113,0.0,0.052129528909714715,0.06204044117647059,0.05042016806722687,0.05839100346020762,0.0507164404223228
cal_Diff,0.0,0.0,0.0,0.06493506493506494,0.0,0.0,0.0,0.0709033613445378,0.8673469387755071,0.13333333333333341,0.13756613756613756,0.20571428571428604,0.08441558441558443,0.08441558441558443,0.06994047619047616,0.1406015037593985,0.19565217391304376,0.0,0.0,0.12698412698412676,0.0,0.0,0.12169312169312169,0.06766917293233082,0.0,0.1377551020408164,0.1377551020408164,0.0,0.06211180124223601,0.2023809523809521,0.2023809523809521,0.2023809523809521,0.2023809523809521,0.1339285714285714,0.13492063492063489,0.13492063492063489,0.1339285714285714,0.0,0.1403361344537814,0.1836734693877552,0.1333333333333333,0.1339285714285714,0.07142857142857142,0.12499999999999996,0.13138736263736248,0.20408163265306137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19805194805194748,0.0,0.06632653061224489,0.0,0.1887755102040818,0.06473214285714284,0.0,0.1377551020408164,0.07142857142857142,0.061904761904761886,0.0,0.12499999999999996,0.07142857142857142,0.07041470434327571,0.0,0.12741312741312733,0.2556390977443608,0.07738095238095238,0.09285714285714287,0.07142857142857142,0.0,0.07004638218923942,0.06527093596059108,0.06312292358803982,0.05952380952380955,0.12244897959183683,0.21428571428571436,0.0,0.0,0.0,0.0,0.18749999999999958,0.08441558441558443,0.06277056277056281,0.0,0.08441558441558443,0.0,0.12380952380952376,0.06766917293233082,0.12554112554112548,0.0,0.1266002844950213,0.11607142857142853,0.1836734693877552,0.17647058823529427,0.061584249084249094
cal_DividedDiff,0.0,0.0,0.0,0.042424242424242434,0.0,0.0,0.0,0.054901960784313725,0.13333333333333341,0.8755555555555412,0.06913580246913573,0.07466666666666669,0.08484848484848487,0.08484848484848487,0.0,0.09333333333333323,0.05797101449275365,0.0,0.0,0.05925925925925932,0.0,0.0,0.06913580246913573,0.0,0.0,0.13333333333333341,0.13333333333333341,0.0,0.040579710144927554,0.1037037037037038,0.1037037037037038,0.1037037037037038,0.1037037037037038,0.0,0.0,0.0,0.0,0.0,0.06549019607843139,0.08888888888888884,0.12444444444444445,0.11666666666666682,0.07179487179487179,0.11666666666666682,0.09197115384615374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05909090909090904,0.0,0.06666666666666665,0.0,0.029365079365079382,0.03020833333333333,0.0,0.13333333333333341,0.07179487179487179,0.06222222222222223,0.0,0.11666666666666682,0.07179487179487179,0.06572039072039072,0.0,0.05945945945945941,0.05964912280701743,0.07777777777777777,0.09333333333333328,0.040579710144927554,0.0,0.032688311688311704,0.03045977011494253,0.02945736434108527,0.03888888888888888,0.06666666666666671,0.0,0.0,0.0,0.0,0.0,0.029166666666666643,0.08484848484848487,0.029292929292929284,0.0,0.08484848484848487,0.0,0.06222222222222223,0.0,0.05858585858585857,0.0,0.05908013276434327,0.11666666666666682,0.08888888888888884,0.10980392156862728,0.028739316239316248
